player_name,season,team,matches,total_legal_balls,total_overs,total_runs_conceded,total_wickets,total_wides,total_no_balls,total_dot_balls,five_wicket_hauls,three_plus_wickets,best_bowling_wickets,total_pp_wickets,total_death_wickets,total_pp_runs_conceded,total_middle_runs_conceded,total_death_runs_conceded,season_economy,season_dot_pct,bowling_average,bowling_strike_rate
Sohail Tanvir,2008,Rajasthan Royals,11,247,41.2,275,24,17,1,121,1,6,6,6,18,145,8,122,6.68,45.66,11.46,10.29
IK Pathan,2008,Punjab Kings,14,318,53.0,361,20,18,0,150,0,2,3,7,7,170,96,95,6.81,44.64,18.05,15.9
JA Morkel,2008,Chennai Super Kings,13,288,48.0,414,20,17,5,100,0,3,4,2,13,121,152,141,8.63,32.26,20.7,14.4
SR Watson,2008,Rajasthan Royals,15,325,54.2,395,20,14,5,158,0,2,3,9,9,221,49,125,7.29,45.93,19.75,16.25
SK Warne,2008,Rajasthan Royals,15,312,52.0,409,20,7,0,107,0,2,3,0,5,0,302,107,7.87,33.54,20.45,15.6
MF Maharoof,2008,Delhi Capitals,10,216,36.0,255,19,10,0,84,0,3,4,1,10,37,120,98,7.08,37.17,13.42,11.37
S Sreesanth,2008,Punjab Kings,15,307,51.2,451,19,21,4,132,0,1,3,13,6,293,62,96,8.81,39.76,23.74,16.16
PP Chawla,2008,Punjab Kings,15,281,46.8,396,19,5,0,110,0,3,4,1,3,14,334,48,8.46,38.46,20.84,14.79
MS Gony,2008,Chennai Super Kings,16,360,60.0,456,18,9,2,154,0,2,3,13,3,342,68,46,7.6,41.51,25.33,20.0
VY Mahesh,2008,Delhi Capitals,11,253,42.2,380,17,6,7,94,1,2,5,3,10,124,186,70,9.01,35.34,22.35,14.88
RP Singh,2008,Sunrisers Hyderabad,14,308,51.3,459,17,16,1,122,0,2,3,5,11,239,44,176,8.94,37.54,27.0,18.12
MM Patel,2008,Rajasthan Royals,15,330,55.0,423,16,5,1,141,0,1,3,3,3,219,103,101,7.69,41.96,26.44,20.63
SK Trivedi,2008,Rajasthan Royals,15,288,48.0,407,15,11,1,102,0,1,3,1,6,52,291,64,8.48,34.0,27.13,19.2
Z Khan,2008,Royal Challengers Bengaluru,11,252,42.0,369,15,6,0,100,0,2,4,9,5,221,56,92,8.79,38.76,24.6,16.8
VRV Singh,2008,Punjab Kings,13,288,48.0,425,15,5,3,94,0,2,3,1,10,102,190,133,8.85,31.76,28.33,19.2
Umar Gul,2008,Kolkata Knight Riders,6,135,22.5,198,14,12,6,51,0,2,4,5,5,42,68,88,8.8,33.33,14.14,9.64
A Nehra,2008,Mumbai Indians,14,269,44.8,357,14,10,1,120,0,2,3,6,5,209,50,98,7.96,42.86,25.5,19.21
GD McGrath,2008,Delhi Capitals,14,324,54.0,366,14,4,1,153,0,1,4,9,3,218,28,120,6.78,46.5,26.14,23.14
DW Steyn,2008,Royal Challengers Bengaluru,10,228,38.0,265,13,17,2,116,0,3,3,2,7,154,62,49,6.97,46.96,20.38,17.54
DS Kulkarni,2008,Mumbai Indians,10,177,29.5,242,13,12,4,77,0,3,3,2,6,68,89,85,8.2,39.9,18.62,13.62
SM Pollock,2008,Mumbai Indians,13,276,46.0,307,13,4,0,130,0,1,4,9,0,213,86,8,6.67,46.43,23.62,21.23
P Kumar,2008,Royal Challengers Bengaluru,13,268,44.7,376,12,7,0,109,0,1,3,2,5,165,113,98,8.42,39.64,31.33,22.33
CRD Fernando,2008,Mumbai Indians,5,120,20.0,164,12,7,1,49,1,2,5,5,5,20,49,95,8.2,38.28,13.67,10.0
PP Ojha,2008,Sunrisers Hyderabad,12,222,37.0,299,11,14,0,70,0,0,2,0,5,33,189,77,8.08,29.66,27.18,20.18
L Balaji,2008,Chennai Super Kings,9,198,33.0,293,11,7,0,60,1,1,5,0,8,0,143,150,8.88,29.27,26.64,18.0
DJ Bravo,2008,Mumbai Indians,9,171,28.5,239,11,10,0,66,0,1,3,3,5,29,124,86,8.39,36.46,21.73,15.55
AB Dinda,2008,Kolkata Knight Riders,12,234,39.0,266,11,10,1,116,0,1,3,7,2,152,100,14,6.82,47.35,24.18,21.27
M Muralitharan,2008,Chennai Super Kings,15,348,58.0,416,11,20,1,127,0,0,2,0,5,7,316,93,7.17,34.42,37.82,31.64
A Mishra,2008,Delhi Capitals,6,119,19.8,140,11,3,1,42,1,1,5,1,4,21,99,20,7.06,34.15,12.73,10.82
YK Pathan,2008,Rajasthan Royals,13,169,28.2,233,10,1,0,59,0,1,3,4,0,29,169,35,8.27,34.71,23.3,16.9
R Bhatia,2008,Delhi Capitals,9,132,22.0,185,9,2,0,48,0,2,3,0,3,0,130,55,8.41,35.82,20.56,14.67
Joginder Sharma,2008,Chennai Super Kings,7,148,24.7,241,9,5,5,43,0,0,2,0,2,0,172,69,9.77,27.22,26.78,16.44
Shahid Afridi,2008,Sunrisers Hyderabad,10,180,30.0,237,9,4,1,57,0,1,3,1,2,26,152,59,7.9,30.81,26.33,20.0
Mohammad Asif,2008,Delhi Capitals,8,192,32.0,307,9,6,1,64,0,0,2,3,5,147,54,106,9.59,32.16,34.11,21.33
AB Agarkar,2008,Kolkata Knight Riders,9,156,26.0,211,8,11,1,66,0,1,3,2,2,104,96,11,8.12,39.29,26.38,19.5
A Kumble,2008,Royal Challengers Bengaluru,10,230,38.3,314,8,6,0,85,0,1,3,0,1,21,237,56,8.19,36.02,39.25,28.75
M Ntini,2008,Chennai Super Kings,9,210,35.0,257,8,1,2,99,0,1,4,5,3,182,22,53,7.34,46.48,32.13,26.25
I Sharma,2008,Kolkata Knight Riders,13,253,42.2,348,7,9,4,110,0,0,1,7,0,201,13,134,8.25,41.35,49.71,36.14
SC Ganguly,2008,Kolkata Knight Riders,7,120,20.0,132,7,1,0,46,0,1,3,0,0,3,129,0,6.6,38.02,18.86,17.14
P Amarnath,2008,Chennai Super Kings,6,132,22.0,241,7,0,0,29,0,0,2,0,1,12,189,40,10.95,21.97,34.43,18.86
R Vinay Kumar,2008,Royal Challengers Bengaluru,8,138,23.0,183,7,1,2,59,0,1,4,0,2,16,141,26,7.96,41.84,26.14,19.71
PJ Sangwan,2008,Delhi Capitals,7,144,24.0,221,7,10,1,47,0,0,2,2,2,74,94,53,9.21,30.32,31.57,20.57
JR Hopes,2008,Punjab Kings,11,168,28.0,285,7,3,0,52,0,0,2,1,3,26,120,139,10.18,30.41,40.71,24.0
Harbhajan Singh,2008,Mumbai Indians,3,60,10.0,84,6,2,0,16,0,1,4,0,4,0,58,26,8.4,25.81,14.0,10.0
SB Bangar,2008,Sunrisers Hyderabad,9,150,25.0,221,6,3,0,55,0,0,2,2,1,13,151,57,8.84,35.95,36.83,25.0
JDP Oram,2008,Chennai Super Kings,4,96,16.0,149,6,4,0,32,0,1,3,3,3,105,8,36,9.31,32.0,24.83,16.0
WPUJC Vaas,2008,Sunrisers Hyderabad,5,102,17.0,146,6,1,0,41,0,0,2,5,1,98,6,42,8.59,39.81,24.33,17.0
RR Raje,2008,Mumbai Indians,6,98,16.3,142,6,3,1,28,0,0,2,0,1,9,91,42,8.69,27.45,23.67,16.33
LR Shukla,2008,Kolkata Knight Riders,9,72,12.0,126,6,4,2,18,0,1,3,0,6,0,76,50,10.5,23.08,21.0,12.0
DR Smith,2008,Mumbai Indians,4,66,11.0,83,5,3,0,25,0,1,3,0,0,0,71,12,7.55,36.23,16.6,13.2
ST Jayasuriya,2008,Mumbai Indians,8,126,21.0,163,5,1,0,36,0,1,4,0,1,10,128,25,7.76,28.35,32.6,25.2
Shoaib Akhtar,2008,Kolkata Knight Riders,3,42,7.0,54,5,4,0,23,0,1,4,5,0,54,0,0,7.71,50.0,10.8,8.4
M Kartik,2008,Kolkata Knight Riders,5,88,14.7,132,5,1,0,31,0,1,4,0,2,0,114,18,9.0,34.83,26.4,17.6
B Lee,2008,Punjab Kings,4,96,16.0,118,5,0,3,44,0,0,2,5,0,67,12,39,7.38,44.44,23.6,19.2
SB Styris,2008,Sunrisers Hyderabad,8,162,27.0,201,4,5,0,61,0,0,2,1,3,45,71,85,7.44,36.53,50.25,40.5
JH Kallis,2008,Royal Challengers Bengaluru,11,206,34.3,322,4,5,0,55,0,0,2,0,2,61,161,100,9.38,26.07,80.5,51.5
DP Vijaykumar,2008,Sunrisers Hyderabad,9,152,25.3,205,4,5,2,63,0,0,1,3,1,126,24,55,8.09,39.62,51.25,38.0
Gagandeep Singh,2008,Punjab Kings,4,84,14.0,142,3,0,0,25,0,0,1,0,1,7,71,64,10.14,29.76,47.33,28.0
V Sehwag,2008,Delhi Capitals,7,66,11.0,134,3,1,0,18,0,0,1,0,1,22,75,37,12.18,26.87,44.67,22.0
B Akhil,2008,Royal Challengers Bengaluru,6,104,17.3,138,3,1,0,34,0,0,2,0,1,0,99,39,7.96,32.38,46.0,34.67
Y Venugopal Rao,2008,Sunrisers Hyderabad,7,84,14.0,137,3,4,0,22,0,0,2,1,0,21,116,0,9.79,25.0,45.67,28.0
RR Powar,2008,Punjab Kings,5,72,12.0,93,3,5,0,30,0,0,2,0,0,23,70,0,7.75,38.96,31.0,24.0
DJ Thornely,2008,Mumbai Indians,4,42,7.0,40,3,2,0,19,0,0,2,0,0,0,40,0,5.71,43.18,13.33,14.0
DJ Hussey,2008,Kolkata Knight Riders,5,78,13.0,134,3,1,0,24,0,0,2,0,0,0,105,29,10.31,30.38,44.67,26.0
Yuvraj Singh,2008,Punjab Kings,6,54,9.0,85,3,2,0,12,0,0,2,0,2,0,81,4,9.44,21.43,28.33,18.0
B Geeves,2008,Delhi Capitals,2,48,8.0,91,2,1,0,15,0,0,1,1,0,50,31,10,11.38,30.61,45.5,24.0
SK Raina,2008,Chennai Super Kings,2,20,3.3,30,2,0,0,4,0,0,2,0,0,0,30,0,9.0,20.0,15.0,10.0
V Kohli,2008,Royal Challengers Bengaluru,4,46,7.7,62,2,2,1,7,0,0,2,0,1,0,53,9,8.09,14.29,31.0,23.0
SD Chitnis,2008,Mumbai Indians,2,36,6.0,62,2,2,0,9,0,0,2,0,1,13,40,9,10.33,23.68,31.0,18.0
Shoaib Malik,2008,Delhi Capitals,5,51,8.5,87,2,6,1,15,0,0,1,0,1,0,62,25,10.24,25.86,43.5,25.5
DNT Zoysa,2008,Sunrisers Hyderabad,3,66,11.0,100,2,1,2,24,0,0,1,0,1,45,21,34,9.09,34.78,50.0,33.0
MA Khote,2008,Mumbai Indians,2,30,5.0,52,2,0,0,5,0,0,2,0,1,0,28,24,10.4,16.67,26.0,15.0
DL Vettori,2008,Delhi Capitals,2,48,8.0,54,2,0,0,16,0,0,1,0,1,0,35,19,6.75,33.33,27.0,24.0
AD Mascarenhas,2008,Rajasthan Royals,1,24,4.0,31,2,1,0,8,0,0,2,0,0,20,11,0,7.75,32.0,15.5,12.0
Mohammad Hafeez,2008,Kolkata Knight Riders,4,60,10.0,71,2,2,1,22,0,0,1,0,0,0,71,0,7.1,34.92,35.5,30.0
D Kalyankrishna,2008,Sunrisers Hyderabad,3,48,8.0,88,2,2,0,10,0,0,1,0,0,0,71,17,11.0,20.0,44.0,24.0
AA Noffke,2008,Royal Challengers Bengaluru,1,24,4.0,41,1,1,0,6,0,0,1,0,1,23,7,11,10.25,24.0,41.0,24.0
WA Mota,2008,Punjab Kings,2,18,3.0,36,1,2,0,3,0,0,1,0,0,0,36,0,12.0,15.0,36.0,18.0
BAW Mendis,2008,Kolkata Knight Riders,1,24,4.0,24,1,0,0,9,0,0,1,0,0,13,4,7,6.0,37.5,24.0,24.0
S Vidyut,2008,Chennai Super Kings,1,12,2.0,22,1,1,0,5,0,0,1,0,0,0,22,0,11.0,38.46,22.0,12.0
PM Sarvesh Kumar,2008,Sunrisers Hyderabad,2,30,5.0,42,1,1,0,11,0,0,1,0,0,8,34,0,8.4,35.48,42.0,30.0
DB Ravi Teja,2008,Sunrisers Hyderabad,1,12,2.0,19,1,0,0,3,0,0,1,0,0,0,19,0,9.5,25.0,19.0,12.0
Iqbal Abdulla,2008,Kolkata Knight Riders,1,18,3.0,22,1,0,0,6,0,0,1,0,0,0,22,0,7.33,33.33,22.0,18.0
A Nel,2008,Mumbai Indians,1,18,3.0,31,1,0,0,7,0,0,1,1,0,12,11,8,10.33,38.89,31.0,18.0
SB Joshi,2008,Royal Challengers Bengaluru,4,55,9.2,82,1,0,0,18,0,0,1,0,1,0,69,13,8.95,32.73,82.0,55.0
D Salunkhe,2008,Rajasthan Royals,5,47,7.8,80,1,3,1,13,0,0,1,0,0,0,73,7,10.21,25.49,80.0,47.0
AM Nayar,2008,Mumbai Indians,5,42,7.0,69,1,1,0,14,0,0,1,0,0,0,69,0,9.86,32.56,69.0,42.0
TM Dilshan,2008,Delhi Capitals,1,6,1.0,3,1,0,0,3,0,0,1,0,0,0,3,0,3.0,50.0,3.0,6.0
RG Sharma,2008,Sunrisers Hyderabad,1,24,4.0,26,1,1,0,6,0,0,1,0,0,0,26,0,6.5,24.0,26.0,24.0
RA Jadeja,2008,Rajasthan Royals,2,13,2.2,21,1,0,0,6,0,0,1,0,1,0,0,21,9.69,46.15,21.0,13.0
CL White,2008,Royal Challengers Bengaluru,1,6,1.0,24,0,1,0,0,0,0,0,0,0,0,24,0,24.0,0.0,,
VS Yeligati,2008,Mumbai Indians,2,30,5.0,61,0,2,0,6,0,0,0,0,0,13,35,13,12.2,18.75,,
Pankaj Singh,2008,Rajasthan Royals,5,72,12.0,129,0,3,1,18,0,0,0,0,0,28,68,33,10.75,23.68,,
Abdur Razzak,2008,Royal Challengers Bengaluru,1,12,2.0,29,0,1,1,5,0,0,0,0,0,0,29,0,14.5,35.71,,
CK Kapugedera,2008,Chennai Super Kings,3,17,2.8,49,0,0,0,0,0,0,0,0,0,0,34,15,17.29,0.0,,
LPC Silva,2008,Sunrisers Hyderabad,1,6,1.0,21,0,0,0,0,0,0,0,0,0,0,0,21,21.0,0.0,,
K Goel,2008,Punjab Kings,1,12,2.0,25,0,0,0,2,0,0,0,0,0,0,25,0,12.5,16.67,,
A Symonds,2008,Sunrisers Hyderabad,3,41,6.8,106,0,2,1,9,0,0,0,0,0,0,87,19,15.51,20.45,,
RP Singh,2009,Sunrisers Hyderabad,16,358,59.7,430,26,17,7,169,1,3,5,11,15,233,34,163,7.21,44.24,16.54,13.77
A Nehra,2009,Delhi Capitals,13,306,51.0,354,22,15,5,139,0,3,3,9,13,190,29,135,6.94,42.64,16.09,13.91
A Kumble,2009,Royal Challengers Bengaluru,16,355,59.2,353,22,3,0,138,1,2,5,2,9,24,250,79,5.97,38.55,16.05,16.14
PP Ojha,2009,Sunrisers Hyderabad,15,321,53.5,359,21,6,0,103,0,3,3,0,6,8,279,72,6.71,31.5,17.1,15.29
SL Malinga,2009,Mumbai Indians,13,297,49.5,334,21,26,3,140,0,3,3,3,16,147,52,135,6.75,42.94,15.9,14.14
IK Pathan,2009,Punjab Kings,14,302,50.3,398,20,12,0,121,0,3,3,7,13,199,4,195,7.91,38.54,19.9,15.1
DP Nannes,2009,Delhi Capitals,13,297,49.5,384,20,23,0,135,0,4,4,9,11,181,56,147,7.76,42.19,19.2,14.85
MM Patel,2009,Rajasthan Royals,11,209,34.8,245,18,3,6,108,0,1,4,7,7,67,78,100,7.03,49.54,13.61,11.61
PJ Sangwan,2009,Delhi Capitals,13,280,46.7,374,18,15,2,112,0,3,3,7,5,149,154,71,8.01,37.71,20.78,15.56
M Muralitharan,2009,Chennai Super Kings,13,300,50.0,267,16,4,0,144,0,1,4,1,5,14,223,30,5.34,47.37,16.69,18.75
P Kumar,2009,Royal Challengers Bengaluru,13,298,49.7,401,16,13,1,121,0,2,3,5,9,183,75,143,8.07,38.78,25.06,18.63
JA Morkel,2009,Chennai Super Kings,12,240,40.0,330,15,4,5,99,0,1,3,11,3,219,39,72,8.25,39.76,22.0,16.0
A Mishra,2009,Delhi Capitals,11,253,42.2,300,14,3,6,98,0,4,3,0,3,15,246,39,7.11,37.4,21.43,18.07
DJ Bravo,2009,Mumbai Indians,11,199,33.2,265,14,11,1,89,0,1,3,8,2,110,82,73,7.99,42.18,18.93,14.21
L Balaji,2009,Chennai Super Kings,13,224,37.3,320,14,5,0,70,0,2,4,1,6,69,99,152,8.57,30.57,22.86,16.0
YA Abdulla,2009,Punjab Kings,9,168,28.0,244,14,11,1,75,0,3,4,7,6,92,60,92,8.71,41.67,17.43,12.0
SK Warne,2009,Rajasthan Royals,13,300,50.0,369,14,13,0,109,0,1,3,1,7,4,225,140,7.38,34.82,26.36,21.43
Harbhajan Singh,2009,Mumbai Indians,13,264,44.0,272,13,4,0,103,0,2,4,1,4,52,185,35,6.18,38.43,20.92,20.31
SB Jakati,2009,Chennai Super Kings,8,174,29.0,225,13,1,0,61,0,2,4,0,5,10,168,47,7.76,34.86,17.31,13.38
PP Chawla,2009,Punjab Kings,14,269,44.8,319,12,4,0,111,0,0,2,1,4,24,258,37,7.12,40.66,26.58,22.42
RG Sharma,2009,Sunrisers Hyderabad,12,138,23.0,163,12,2,0,38,0,2,4,2,6,10,125,28,7.09,27.14,13.58,11.5
I Sharma,2009,Kolkata Knight Riders,11,258,43.0,303,11,10,2,130,0,0,2,3,4,169,44,90,7.05,48.15,27.55,23.45
R Bhatia,2009,Delhi Capitals,7,130,21.7,153,11,3,0,42,0,2,4,0,7,0,96,57,7.06,31.58,13.91,11.82
DL Vettori,2009,Delhi Capitals,7,139,23.2,186,10,2,0,48,1,2,5,0,2,0,133,53,8.03,34.04,18.6,13.9
A Symonds,2009,Sunrisers Hyderabad,8,144,24.0,162,9,3,0,65,0,0,2,2,2,28,115,19,6.75,44.22,18.0,16.0
Kamran Khan,2009,Rajasthan Royals,5,106,17.7,133,9,7,1,39,0,2,4,2,5,39,35,59,7.53,34.21,14.78,11.78
A Singh,2009,Rajasthan Royals,5,105,17.5,100,9,1,1,56,0,2,4,5,4,56,3,41,5.71,52.34,11.11,11.67
RE van der Merwe,2009,Royal Challengers Bengaluru,10,204,34.0,263,9,5,0,53,0,0,2,0,4,29,127,107,7.74,25.36,29.22,22.67
R Vinay Kumar,2009,Royal Challengers Bengaluru,11,194,32.3,273,9,5,0,65,0,0,2,4,4,99,74,100,8.44,32.66,30.33,21.56
SK Raina,2009,Chennai Super Kings,10,166,27.7,169,8,1,0,57,0,0,2,1,2,3,122,44,6.11,34.13,21.13,20.75
AB Agarkar,2009,Kolkata Knight Riders,11,186,31.0,293,8,13,0,65,0,1,3,2,2,83,106,104,9.45,32.66,36.63,23.25
ST Jayasuriya,2009,Mumbai Indians,9,114,19.0,165,8,5,0,28,0,1,3,0,3,0,123,42,8.68,23.53,20.63,14.25
Z Khan,2009,Mumbai Indians,6,126,21.0,144,7,5,1,49,0,1,3,3,2,73,22,49,6.86,37.12,20.57,18.0
BJ Hodge,2009,Kolkata Knight Riders,9,120,20.0,167,7,3,0,34,0,1,3,0,2,53,94,20,8.35,27.64,23.86,17.14
JH Kallis,2009,Royal Challengers Bengaluru,14,276,46.0,362,7,11,2,111,0,0,2,4,1,205,90,67,7.87,38.41,51.71,39.43
YK Pathan,2009,Rajasthan Royals,11,210,35.0,248,7,11,0,83,0,1,3,5,2,97,125,26,7.09,37.56,35.43,30.0
S Sreesanth,2009,Punjab Kings,7,138,23.0,196,6,4,3,62,0,0,2,1,1,88,43,65,8.52,42.76,32.67,23.0
RR Powar,2009,Punjab Kings,8,126,21.0,138,6,6,0,49,0,0,2,3,0,46,92,0,6.57,37.12,23.0,21.0
RA Jadeja,2009,Rajasthan Royals,10,140,23.3,156,6,4,0,42,0,1,3,0,0,7,113,36,6.69,29.17,26.0,23.33
Yuvraj Singh,2009,Punjab Kings,9,120,20.0,142,6,1,0,48,0,2,3,0,0,0,130,12,7.1,39.67,23.67,20.0
AD Mascarenhas,2009,Rajasthan Royals,5,116,19.3,133,6,0,0,58,0,1,3,6,0,96,34,3,6.88,50.0,22.17,19.33
JDP Oram,2009,Chennai Super Kings,7,93,15.5,139,6,0,1,28,0,0,2,0,5,19,62,58,8.97,29.79,23.17,15.5
RJ Harris,2009,Sunrisers Hyderabad,8,186,31.0,235,6,5,1,84,0,1,3,3,3,134,6,95,7.58,43.75,39.17,31.0
TL Suman,2009,Sunrisers Hyderabad,5,90,15.0,108,6,0,1,31,0,0,2,0,2,0,76,32,7.2,34.07,18.0,15.0
B Lee,2009,Punjab Kings,5,120,20.0,113,6,8,5,69,0,1,3,2,3,63,19,31,5.65,51.88,18.83,20.0
AB Dinda,2009,Kolkata Knight Riders,8,144,24.0,195,6,6,0,67,0,0,2,4,2,141,6,48,8.13,44.67,32.5,24.0
FH Edwards,2009,Sunrisers Hyderabad,6,140,23.3,160,6,9,1,70,0,0,2,4,2,61,14,85,6.86,46.67,26.67,23.33
SK Trivedi,2009,Rajasthan Royals,7,120,20.0,152,6,2,1,43,0,0,2,4,1,44,52,56,7.6,34.96,25.33,20.0
Shoaib Ahmed,2009,Sunrisers Hyderabad,7,102,17.0,154,5,1,0,33,0,0,2,1,0,37,75,42,9.06,32.04,30.8,20.4
J Botha,2009,Rajasthan Royals,3,72,12.0,76,5,3,0,30,0,1,3,0,2,0,40,36,6.33,40.0,15.2,14.4
DS Kulkarni,2009,Mumbai Indians,8,156,26.0,209,5,4,0,65,0,0,1,4,0,136,65,8,8.04,40.63,41.8,31.2
SB Styris,2009,Sunrisers Hyderabad,2,48,8.0,64,5,1,0,21,0,1,3,0,4,0,34,30,8.0,42.86,12.8,9.6
MS Gony,2009,Chennai Super Kings,7,102,17.0,173,5,4,1,36,0,0,2,3,0,130,19,24,10.18,33.64,34.6,20.4
KP Pietersen,2009,Royal Challengers Bengaluru,4,78,13.0,88,5,2,0,26,0,0,2,1,1,13,46,29,6.77,32.5,17.6,15.6
WPUJC Vaas,2009,Sunrisers Hyderabad,2,48,8.0,71,5,2,2,24,0,1,3,3,1,34,9,28,8.88,46.15,14.2,9.6
S Tyagi,2009,Chennai Super Kings,8,114,19.0,143,5,3,1,59,0,0,2,5,0,143,0,0,7.53,50.0,28.6,22.8
JD Ryder,2009,Royal Challengers Bengaluru,5,102,17.0,121,5,2,0,40,0,1,3,0,0,7,88,26,7.12,38.46,24.2,20.4
LR Shukla,2009,Kolkata Knight Riders,5,84,14.0,102,5,4,0,38,0,1,3,0,1,7,65,30,7.29,43.18,20.4,16.8
M Kartik,2009,Kolkata Knight Riders,10,204,34.0,207,5,6,0,77,0,0,2,1,0,25,148,34,6.09,36.67,41.4,40.8
JP Duminy,2009,Mumbai Indians,6,105,17.5,96,4,2,0,44,0,0,2,0,0,3,73,20,5.49,41.12,24.0,26.25
Harmeet Singh,2009,Sunrisers Hyderabad,7,137,22.8,198,4,5,0,46,0,0,2,1,2,38,113,47,8.67,32.39,49.5,34.25
AM Nayar,2009,Mumbai Indians,4,72,12.0,84,4,5,0,27,0,1,3,0,1,10,65,9,7.0,35.06,21.0,18.0
AM Salvi,2009,Delhi Capitals,5,102,17.0,138,4,4,0,40,0,0,2,0,0,58,63,17,8.12,37.74,34.5,25.5
B Akhil,2009,Royal Challengers Bengaluru,5,66,11.0,80,4,3,0,19,0,0,2,0,1,12,32,36,7.27,27.54,20.0,16.5
D du Preez,2009,Royal Challengers Bengaluru,2,42,7.0,56,4,0,1,18,0,1,3,3,0,12,28,16,8.0,41.86,14.0,10.5
MF Maharoof,2009,Delhi Capitals,3,60,10.0,67,4,2,4,27,0,0,2,2,1,23,25,19,6.7,40.91,16.75,15.0
Y Venugopal Rao,2009,Sunrisers Hyderabad,6,90,15.0,123,4,2,0,27,0,0,2,0,1,10,60,53,8.2,29.35,30.75,22.5
BAW Mendis,2009,Kolkata Knight Riders,4,96,16.0,118,4,1,1,26,0,0,2,0,2,5,75,38,7.38,26.53,29.5,24.0
WA Mota,2009,Punjab Kings,5,54,9.0,62,3,0,1,21,0,0,1,0,1,0,14,48,6.89,38.18,20.67,18.0
SM Harwood,2009,Rajasthan Royals,3,60,10.0,74,3,7,0,33,0,0,2,1,1,7,21,46,7.4,49.25,24.67,20.0
T Thushara,2009,Chennai Super Kings,2,48,8.0,61,3,2,0,19,0,0,2,2,1,35,4,22,7.63,38.0,20.33,16.0
DW Steyn,2009,Royal Challengers Bengaluru,3,54,9.0,62,3,5,0,27,0,0,2,0,3,37,0,25,6.89,45.76,20.67,18.0
CK Langeveldt,2009,Kolkata Knight Riders,1,24,4.0,15,3,1,0,16,0,1,3,2,0,8,3,4,3.75,64.0,5.0,8.0
Y Nagar,2009,Delhi Capitals,1,12,2.0,20,2,0,1,3,0,0,2,0,0,0,20,0,10.0,23.08,10.0,6.0
R Ashwin,2009,Chennai Super Kings,1,24,4.0,14,2,0,0,11,0,0,2,0,2,3,9,2,3.5,45.83,7.0,12.0
Anureet Singh,2009,Kolkata Knight Riders,2,30,5.0,47,2,4,0,16,0,0,2,1,1,23,0,24,9.4,47.06,23.5,15.0
C Nanda,2009,Mumbai Indians,3,48,8.0,58,2,2,0,13,0,0,1,0,0,0,50,8,7.25,26.0,29.0,24.0
SC Ganguly,2009,Kolkata Knight Riders,6,72,12.0,98,2,1,0,17,0,0,2,0,0,16,82,0,8.17,23.29,49.0,36.0
MC Henriques,2009,Kolkata Knight Riders,4,73,12.2,107,2,3,0,24,0,0,1,0,1,30,42,35,8.79,31.58,53.5,36.5
A Flintoff,2009,Chennai Super Kings,3,66,11.0,106,2,0,0,20,0,0,1,0,1,21,26,59,9.64,30.3,53.0,33.0
KP Appanna,2009,Royal Challengers Bengaluru,5,72,12.0,91,2,0,0,18,0,0,1,0,0,0,78,13,7.58,25.0,45.5,36.0
VS Malik,2009,Punjab Kings,5,72,12.0,100,2,1,1,28,0,0,1,2,0,72,20,8,8.33,37.84,50.0,36.0
Pankaj Singh,2009,Royal Challengers Bengaluru,3,42,7.0,65,2,3,0,12,0,0,2,2,0,53,0,12,9.29,26.67,32.5,21.0
Joginder Sharma,2009,Chennai Super Kings,4,42,7.0,57,2,1,0,9,0,0,1,0,0,0,57,0,8.14,20.93,28.5,21.0
VY Mahesh,2009,Delhi Capitals,1,12,2.0,25,1,1,0,3,0,0,1,1,0,25,0,0,12.5,23.08,25.0,12.0
M Morkel,2009,Rajasthan Royals,2,42,7.0,40,1,2,0,20,0,0,1,0,1,30,9,1,5.71,45.45,40.0,42.0
DR Smith,2009,Sunrisers Hyderabad,8,84,14.0,128,1,1,0,26,0,0,1,0,1,55,53,20,9.14,30.59,128.0,84.0
CH Gayle,2009,Kolkata Knight Riders,7,113,18.8,146,1,6,0,32,0,0,1,0,1,15,75,56,7.75,26.89,146.0,113.0
SS Sarkar,2009,Kolkata Knight Riders,2,25,4.2,34,1,0,0,4,0,0,1,0,1,15,6,13,8.16,16.0,34.0,25.0
GR Napier,2009,Mumbai Indians,1,24,4.0,28,1,0,0,8,0,0,1,0,0,3,25,0,7.0,33.33,28.0,24.0
VRV Singh,2009,Punjab Kings,4,54,9.0,83,1,0,0,16,0,0,1,0,1,22,46,15,9.22,29.63,83.0,54.0
LA Carseldine,2009,Rajasthan Royals,1,6,1.0,6,1,1,0,4,0,0,1,1,0,6,0,0,6.0,57.14,6.0,6.0
AM Rahane,2009,Mumbai Indians,1,6,1.0,5,1,0,0,2,0,0,1,0,0,0,5,0,5.0,33.33,5.0,6.0
RR Raje,2009,Mumbai Indians,4,41,6.8,72,1,1,0,11,0,0,1,0,0,0,50,22,10.54,26.19,72.0,41.0
Mashrafe Mortaza,2009,Kolkata Knight Riders,1,24,4.0,59,1,2,2,6,0,0,1,0,1,26,0,33,14.75,21.43,59.0,24.0
T Henderson,2009,Rajasthan Royals,2,36,6.0,41,1,0,0,14,0,0,1,0,0,0,13,28,6.83,38.89,41.0,36.0
