team,season,matches_played,matches_won,matches_lost,win_pct,avg_runs_scored,avg_runs_conceded,total_sixes,total_fours,toss_wins,toss_win_and_match_win,toss_win_conversion_pct,times_batted_first,times_chased,won_batting_first,won_chasing,win_pct_batting_first,win_pct_chasing
Delhi Capitals,2018,14,5,9,35.7,167.4,170.5,115,186,8,2,25.0,9,5,4,1,44.4,20.0
Mumbai Indians,2019,16,11,5,68.8,166.3,160.1,115,230,8,6,75.0,10,6,7,4,70.0,66.7
Delhi Capitals,2019,16,10,6,62.5,157.4,159.4,87,236,10,7,70.0,6,10,3,7,50.0,70.0
Chennai Super Kings,2019,17,10,7,58.8,145.5,143.5,89,205,12,7,58.3,6,11,3,7,50.0,63.6
Kolkata Knight Riders,2019,14,6,8,42.9,176.1,172.8,143,195,5,4,80.0,9,5,2,4,22.2,80.0
Punjab Kings,2019,14,6,8,42.9,173.5,178.8,110,197,6,3,50.0,7,7,3,3,42.9,42.9
Sunrisers Hyderabad,2019,15,6,9,40.0,163.3,157.7,81,198,4,2,50.0,8,7,2,4,25.0,57.1
Rajasthan Royals,2019,14,5,9,35.7,156.7,161.0,66,206,11,5,45.5,5,9,0,5,0.0,55.6
Royal Challengers Bengaluru,2019,14,5,9,35.7,157.7,164.8,93,186,4,2,50.0,9,5,3,2,33.3,40.0
Mumbai Indians,2021,30,18,12,60.0,161.7,153.8,213,403,16,11,68.8,17,13,8,10,47.1,76.9
Delhi Capitals,2021,33,19,14,57.6,159.5,158.9,155,470,18,10,55.6,18,15,9,10,50.0,66.7
Chennai Super Kings,2021,30,17,13,56.7,164.1,161.0,190,420,14,10,71.4,14,16,6,11,42.9,68.8
Royal Challengers Bengaluru,2021,30,16,14,53.3,152.7,153.8,145,366,16,8,50.0,18,12,9,7,50.0,58.3
Kolkata Knight Riders,2021,31,16,15,51.6,154.1,153.3,184,417,14,6,42.9,16,15,8,8,50.0,53.3
Punjab Kings,2021,28,12,16,42.9,160.2,159.3,191,334,9,4,44.4,15,13,5,7,33.3,53.8
Rajasthan Royals,2021,28,11,17,39.3,160.1,171.4,195,358,15,5,33.3,11,17,3,8,27.3,47.1
Sunrisers Hyderabad,2021,30,11,19,36.7,153.5,155.4,149,364,18,6,33.3,11,19,5,6,45.5,31.6
Gujarat Titans,2022,16,12,4,75.0,166.4,158.4,79,250,10,7,70.0,7,9,4,8,57.1,88.9
Lucknow Super Giants,2022,15,9,6,60.0,169.9,166.4,115,188,7,4,57.1,8,7,7,2,87.5,28.6
Rajasthan Royals,2022,17,10,7,58.8,173.1,166.6,137,251,4,2,50.0,13,4,7,3,53.8,75.0
Royal Challengers Bengaluru,2022,16,9,7,56.3,164.5,163.4,102,222,8,4,50.0,9,7,5,4,55.6,57.1
Delhi Capitals,2022,14,7,7,50.0,167.2,171.2,106,205,8,4,50.0,5,9,3,4,60.0,44.4
Punjab Kings,2022,14,7,7,50.0,167.4,160.9,110,200,4,1,25.0,9,5,4,3,44.4,60.0
Kolkata Knight Riders,2022,14,6,8,42.9,158.8,160.6,113,177,8,5,62.5,5,9,2,4,40.0,44.4
Sunrisers Hyderabad,2022,14,6,8,42.9,156.9,172.6,97,170,10,5,50.0,3,11,1,5,33.3,45.5
Chennai Super Kings,2022,14,4,10,28.6,163.4,161.0,103,184,6,1,16.7,10,4,3,1,30.0,25.0
Mumbai Indians,2022,14,4,10,28.6,158.4,167.9,100,173,9,3,33.3,5,9,1,3,20.0,33.3
Chennai Super Kings,2023,15,10,5,66.7,180.8,173.5,133,197,9,6,66.7,9,6,6,4,66.7,66.7
Gujarat Titans,2023,17,11,6,64.7,179.6,167.1,124,258,9,6,66.7,8,9,5,6,62.5,66.7
Mumbai Indians,2023,16,9,7,56.3,184.1,184.6,140,265,10,6,60.0,6,10,3,6,50.0,60.0
Lucknow Super Giants,2023,15,8,7,53.3,165.3,171.3,115,183,3,1,33.3,7,8,5,3,71.4,37.5
Royal Challengers Bengaluru,2023,14,7,7,50.0,178.7,173.9,107,202,8,4,50.0,9,5,5,2,55.6,40.0
Rajasthan Royals,2023,14,7,7,50.0,172.8,170.6,112,215,10,4,40.0,7,7,4,3,57.1,42.9
Kolkata Knight Riders,2023,14,6,8,42.9,175.9,176.4,125,202,5,1,20.0,7,7,3,3,42.9,42.9
Punjab Kings,2023,14,6,8,42.9,182.6,183.1,117,227,5,1,20.0,9,5,4,2,44.4,40.0
Delhi Capitals,2023,14,5,9,35.7,155.9,173.1,67,210,7,3,42.9,5,9,3,2,60.0,22.2
Sunrisers Hyderabad,2023,14,4,10,28.6,169.7,177.6,84,216,7,2,28.6,7,7,2,2,28.6,28.6
Kolkata Knight Riders,2024,14,11,3,78.6,190.5,171.9,141,238,3,3,100.0,9,5,6,5,66.7,100.0
Rajasthan Royals,2024,15,9,6,60.0,176.5,177.1,112,236,11,7,63.6,5,10,2,7,40.0,70.0
Sunrisers Hyderabad,2024,16,9,7,56.3,190.8,188.5,178,217,7,2,28.6,10,6,6,3,60.0,50.0
Lucknow Super Giants,2024,14,7,7,50.0,177.4,180.1,102,206,9,5,55.6,8,6,4,3,50.0,50.0
Delhi Capitals,2024,14,7,7,50.0,183.8,197.3,135,229,7,2,28.6,7,7,5,2,71.4,28.6
Chennai Super Kings,2024,14,7,7,50.0,180.3,172.5,107,209,3,1,33.3,8,6,4,3,50.0,50.0
Royal Challengers Bengaluru,2024,15,7,8,46.7,195.3,188.0,165,229,8,4,50.0,9,6,4,3,44.4,50.0
Gujarat Titans,2024,12,5,7,41.7,170.0,175.1,68,183,3,1,33.3,6,6,2,3,33.3,50.0
Punjab Kings,2024,14,5,9,35.7,177.6,186.6,120,213,10,4,40.0,4,10,0,5,0.0,50.0
Mumbai Indians,2024,14,4,10,28.6,183.4,190.0,133,215,10,2,20.0,5,9,2,2,40.0,22.2
